product, format, threads, cavity10.mtx, roadNet-PA.mtx, nlpkkt80.mtx, mac_econ_fwd500.mtx, thermomech_TK.mtx, PR02R.mtx, thermal2.mtx, FEM_3D_thermal1.mtx, olafu.mtx, amazon0302.mtx, adder_dcop_32.mtx, rdist2.mtx, olm1000.mtx, webbase-1M.mtx, cant.mtx, af_1_k101.mtx, mhd4800a.mtx, thermal1.mtx, cop20k_A.mtx, bcsstk17.mtx, raefsky2.mtx, cage4.mtx, Cube_Coup_dt0.mtx, mcfe.mtx, west2021.mtx, ML_Laplace.mtx, lung2.mtx, af23560.mtx, dc1.mtx

serial, ellpack, 1,-1 ,-1 ,6.07577e+08 ,-1 ,1.10297e+08 ,3.43311e+08 ,3.11335e+08 ,1.10605e+08 ,3.9626e+08 ,2.90597e+08 ,-1 ,-1 ,9.18028e+06 ,-1 ,5.11073e+08 ,6.21392e+08 ,3.21559e+07 ,3.29597e+08 ,-1 ,-1 ,3.96165e+08 ,658699 ,5.57434e+08 ,-1 ,-1 ,4.05864e+08 ,5.93309e+07 ,3.01021e+08 ,-1 
serial, csr, 1,6.65105e+08 ,3.19753e+08 ,6.52368e+08 ,1.831e+08 ,3.14611e+08 ,6.45092e+08 ,4.14217e+08 ,1.42912e+08 ,5.5725e+08 ,3.04053e+08 ,2.61341e+07 ,4.42397e+08 ,1.97356e+08 ,3.95003e+08 ,5.82113e+08 ,6.57141e+08 ,3.52665e+07 ,4.16058e+08 ,4.77653e+08 ,3.57188e+08 ,5.29235e+08 ,879626 ,6.74026e+08 ,1.26779e+06 ,3.79546e+06 ,6.62076e+08 ,9.63606e+07 ,3.9205e+08 ,4.932e+08 
omp, ellpack, 1,-1 ,6.10739e+08 ,-1 ,2.67232e+08 ,3.47409e+08 ,3.32173e+08 ,3.76316e+08 ,4.36403e+08 ,2.653e+08 ,-1 ,-1 ,1.12827e+08 ,-1 ,5.08347e+08 ,6.33882e+08 ,2.22425e+08 ,3.83082e+08 ,-1 ,-1 ,5.28309e+08 ,826383 ,5.33684e+08 ,-1 ,-1 ,5.83281e+08 ,2.59739e+08 ,6.1229e+08 ,-1 ,2.12408e-314 
omp, ellpack, 1,-1 ,1.00688e+09 ,-1 ,4.70842e+08 ,5.47509e+08 ,4.97161e+08 ,7.49733e+08 ,6.52236e+08 ,4.33468e+08 ,-1 ,-1 ,1.17691e+08 ,-1 ,7.80758e+08 ,1.02589e+09 ,4.93069e+08 ,3.53636e+08 ,-1 ,-1 ,7.32863e+08 ,5.89922e+06 ,8.60196e+08 ,-1 ,-1 ,9.94731e+08 ,4.52442e+08 ,8.38078e+08 ,-1 ,6.1168e-317 
omp, ellpack, 1,-1 ,1.52651e+09 ,-1 ,7.33464e+08 ,8.28759e+08 ,7.96231e+08 ,1.25562e+09 ,1.05134e+09 ,6.68622e+08 ,-1 ,-1 ,2.07504e+08 ,-1 ,1.20651e+09 ,1.59119e+09 ,8.47366e+08 ,6.71278e+08 ,-1 ,-1 ,1.13035e+09 ,2.43344e+06 ,1.33165e+09 ,-1 ,-1 ,1.53436e+09 ,7.29938e+08 ,1.30548e+09 ,-1 ,3.13238e-317 
omp, ellpack, 1,-1 ,1.90488e+09 ,-1 ,1.04778e+09 ,1.07359e+09 ,1.02018e+09 ,1.73021e+09 ,1.42697e+09 ,8.7046e+08 ,-1 ,-1 ,5.03239e+07 ,-1 ,1.56738e+09 ,2.07251e+09 ,1.1826e+09 ,1.16562e+09 ,-1 ,-1 ,1.53282e+09 ,1.13839e+06 ,1.67029e+09 ,-1 ,-1 ,2.01093e+09 ,1.04004e+09 ,1.78663e+09 ,-1 ,4.94066e-324 
omp, ellpack, 1,-1 ,2.44599e+09 ,-1 ,1.25893e+09 ,1.15956e+09 ,1.22266e+09 ,2.23604e+09 ,1.75766e+09 ,1.06523e+09 ,-1 ,-1 ,3.00517e+08 ,-1 ,2.02589e+09 ,2.59623e+09 ,1.4944e+09 ,1.51829e+09 ,-1 ,-1 ,1.94925e+09 ,7.4349e+06 ,2.1077e+09 ,-1 ,-1 ,2.52525e+09 ,1.2858e+09 ,2.24724e+09 ,-1 ,6.95317e-310 
omp, ellpack, 1,-1 ,2.94289e+09 ,-1 ,1.54351e+09 ,1.6412e+09 ,1.42109e+09 ,2.56818e+09 ,2.11094e+09 ,1.30095e+09 ,-1 ,-1 ,6.12755e+08 ,-1 ,2.41807e+09 ,3.11606e+09 ,1.79085e+09 ,1.81746e+09 ,-1 ,-1 ,2.32179e+09 ,1.56884e+07 ,2.5823e+09 ,-1 ,-1 ,3.02208e+09 ,1.54601e+09 ,2.71179e+09 ,-1 ,6.3963e-317 
omp, ellpack, 1,-1 ,3.38681e+09 ,-1 ,1.79629e+09 ,1.93516e+09 ,1.61423e+09 ,2.98447e+09 ,2.41698e+09 ,1.39673e+09 ,-1 ,-1 ,7.00595e+08 ,-1 ,2.83178e+09 ,3.54014e+09 ,2.04196e+09 ,2.06662e+09 ,-1 ,-1 ,2.68885e+09 ,1.58399e+07 ,2.98623e+09 ,-1 ,-1 ,3.47885e+09 ,1.77302e+09 ,3.22462e+09 ,-1 ,6.30317e-317 
omp, ellpack, 1,-1 ,3.87111e+09 ,-1 ,1.97871e+09 ,2.16386e+09 ,1.70215e+09 ,3.25498e+09 ,2.63132e+09 ,1.75658e+09 ,-1 ,-1 ,6.24086e+08 ,-1 ,3.22627e+09 ,3.97139e+09 ,2.31197e+09 ,2.34543e+09 ,-1 ,-1 ,3.10014e+09 ,1.2525e+07 ,3.33499e+09 ,-1 ,-1 ,3.91107e+09 ,2.01452e+09 ,3.60091e+09 ,-1 ,-nan 
omp, ellpack, 1,-1 ,4.32729e+09 ,-1 ,2.21801e+09 ,2.42222e+09 ,1.90915e+09 ,3.66603e+09 ,2.97565e+09 ,2.04712e+09 ,-1 ,-1 ,6.89042e+08 ,-1 ,3.42042e+09 ,4.44329e+09 ,2.59404e+09 ,2.56908e+09 ,-1 ,-1 ,3.44853e+09 ,1.33419e+07 ,3.6417e+09 ,-1 ,-1 ,4.28874e+09 ,2.24833e+09 ,4.01133e+09 ,-1 ,0 
omp, ellpack, 1,-1 ,4.63765e+09 ,-1 ,2.46364e+09 ,2.63492e+09 ,2.03232e+09 ,3.44226e+09 ,3.25164e+09 ,2.1851e+09 ,-1 ,-1 ,7.50235e+08 ,-1 ,3.7733e+09 ,4.75364e+09 ,2.86199e+09 ,2.7923e+09 ,-1 ,-1 ,3.78834e+09 ,1.32757e+07 ,3.68253e+09 ,-1 ,-1 ,4.35474e+09 ,1.52252e+09 ,4.31047e+09 ,-1 ,6.10058e-317 
omp, ellpack, 1,-1 ,4.77292e+09 ,-1 ,1.60485e+09 ,2.7789e+09 ,2.0162e+09 ,4.39543e+09 ,3.31399e+09 ,2.3662e+09 ,-1 ,-1 ,7.29668e+08 ,-1 ,4.09568e+09 ,4.92365e+09 ,1.89313e+09 ,1.91761e+09 ,-1 ,-1 ,2.51626e+09 ,1.19323e+07 ,4.35614e+09 ,-1 ,-1 ,5.2426e+09 ,1.5227e+09 ,2.91485e+09 ,-1 ,0 
omp, ellpack, 1,-1 ,5.04139e+09 ,-1 ,1.6163e+09 ,2.8885e+09 ,2.03996e+09 ,2.92007e+09 ,2.19034e+09 ,2.60525e+09 ,-1 ,-1 ,6.70624e+08 ,-1 ,2.55597e+09 ,4.89068e+09 ,1.8496e+09 ,1.86219e+09 ,-1 ,-1 ,2.60317e+09 ,1.17937e+07 ,4.66341e+09 ,-1 ,-1 ,5.77196e+09 ,1.53504e+09 ,3.02483e+09 ,-1 ,2.0838e-317 
omp, ellpack, 1,-1 ,5.13279e+09 ,-1 ,1.84853e+09 ,2.92381e+09 ,1.99318e+09 ,2.99142e+09 ,2.2748e+09 ,1.87209e+09 ,-1 ,-1 ,1.13021e+08 ,-1 ,2.64743e+09 ,4.813e+09 ,1.96137e+09 ,2.1253e+09 ,-1 ,-1 ,2.64265e+09 ,1.91779e+06 ,5.06277e+09 ,-1 ,-1 ,5.97028e+09 ,1.6604e+09 ,3.06491e+09 ,-1 ,6.35407e-313 
omp, ellpack, 1,-1 ,5.14195e+09 ,-1 ,1.81776e+09 ,2.83961e+09 ,1.97323e+09 ,3.22358e+09 ,2.43374e+09 ,1.92791e+09 ,-1 ,-1 ,4.26442e+08 ,-1 ,2.83281e+09 ,4.89291e+09 ,2.08419e+09 ,2.07423e+09 ,-1 ,-1 ,2.81937e+09 ,7.6211e+06 ,5.11258e+09 ,-1 ,-1 ,6.18081e+09 ,1.78637e+09 ,3.2665e+09 ,-1 ,6.42285e-323 
omp, ellpack, 1,-1 ,4.8856e+09 ,-1 ,1.98146e+09 ,2.24003e+09 ,2.02612e+09 ,3.43851e+09 ,2.57863e+09 ,2.00942e+09 ,-1 ,-1 ,6.35575e+08 ,-1 ,3.00966e+09 ,4.90763e+09 ,2.21474e+09 ,2.18446e+09 ,-1 ,-1 ,3.02674e+09 ,1.09345e+07 ,5.2786e+09 ,-1 ,-1 ,6.47048e+09 ,1.91221e+09 ,3.47745e+09 ,-1 ,2.1222e-313 
omp, ellpack, 1,-1 ,5.18739e+09 ,-1 ,2.11864e+09 ,2.0489e+09 ,2.02934e+09 ,3.57121e+09 ,2.75614e+09 ,2.17622e+09 ,-1 ,-1 ,6.22795e+08 ,-1 ,3.2124e+09 ,4.83919e+09 ,2.3195e+09 ,2.3231e+09 ,-1 ,-1 ,3.19755e+09 ,1.10392e+07 ,5.5605e+09 ,-1 ,-1 ,4.32931e+09 ,2.0371e+09 ,3.7052e+09 ,-1 ,8.70018e-313 
omp, ellpack, 1,-1 ,5.21248e+09 ,-1 ,2.26011e+09 ,2.05375e+09 ,1.76072e+09 ,3.62104e+09 ,2.91724e+09 ,2.31691e+09 ,-1 ,-1 ,6.35228e+08 ,-1 ,3.40682e+09 ,4.82024e+09 ,2.49441e+09 ,2.46883e+09 ,-1 ,-1 ,3.37818e+09 ,9.53848e+06 ,5.73042e+09 ,-1 ,-1 ,4.38167e+09 ,2.15674e+09 ,3.93863e+09 ,-1 ,0.00128662 
omp, ellpack, 1,-1 ,3.83648e+09 ,-1 ,2.37947e+09 ,2.07924e+09 ,1.62464e+09 ,3.77774e+09 ,3.07341e+09 ,2.42251e+09 ,-1 ,-1 ,6.97766e+08 ,-1 ,3.5923e+09 ,3.81412e+09 ,2.61296e+09 ,2.59317e+09 ,-1 ,-1 ,3.57934e+09 ,1.09531e+07 ,5.23134e+09 ,-1 ,-1 ,4.45876e+09 ,2.28033e+09 ,4.14069e+09 ,-1 ,6.15379e-313 
omp, ellpack, 1,-1 ,3.7477e+09 ,-1 ,2.48004e+09 ,2.1239e+09 ,1.90071e+09 ,4.0017e+09 ,3.22961e+09 ,2.51706e+09 ,-1 ,-1 ,6.27887e+08 ,-1 ,3.79268e+09 ,3.75967e+09 ,9.40479e+08 ,2.73806e+09 ,-1 ,-1 ,3.75566e+09 ,1.06748e+07 ,4.83446e+09 ,-1 ,-1 ,4.53973e+09 ,2.40798e+09 ,4.36877e+09 ,-1 ,2.08371e-317 
omp, ellpack, 1,-1 ,3.7781e+09 ,-1 ,2.56066e+09 ,2.0908e+09 ,1.92037e+09 ,4.06569e+09 ,3.38266e+09 ,2.62326e+09 ,-1 ,-1 ,5.99469e+08 ,-1 ,3.98131e+09 ,3.85855e+09 ,2.35507e+09 ,2.86186e+09 ,-1 ,-1 ,3.91015e+09 ,9.29716e+06 ,4.71612e+09 ,-1 ,-1 ,4.76612e+09 ,2.52162e+09 ,4.6053e+09 ,-1 ,6.91642e-310 
omp, ellpack, 1,-1 ,3.96944e+09 ,-1 ,2.65639e+09 ,2.21712e+09 ,1.92505e+09 ,4.34056e+09 ,3.47269e+09 ,2.73091e+09 ,-1 ,-1 ,6.65908e+08 ,-1 ,4.17256e+09 ,3.84926e+09 ,3.44999e+07 ,2.97838e+09 ,-1 ,-1 ,4.02667e+09 ,1.00065e+07 ,4.49751e+09 ,-1 ,-1 ,4.99164e+09 ,2.64572e+09 ,4.74907e+09 ,-1 ,3.59205e-319 
omp, ellpack, 1,-1 ,4.05602e+09 ,-1 ,1.87154e+09 ,2.25195e+09 ,1.99784e+09 ,4.54304e+09 ,2.10025e+09 ,2.8515e+09 ,-1 ,-1 ,1.35583e+07 ,-1 ,4.24078e+09 ,3.61369e+09 ,1.21383e+08 ,3.10619e+09 ,-1 ,-1 ,4.2379e+09 ,85161.3 ,4.46915e+09 ,-1 ,-1 ,5.31514e+09 ,1.24e+09 ,1.53584e+09 ,-1 ,6.95317e-310 
omp, ellpack, 1,-1 ,4.13662e+09 ,-1 ,1.58361e+09 ,2.33362e+09 ,1.91577e+09 ,4.77307e+09 ,1.75893e+09 ,2.94663e+09 ,-1 ,-1 ,6.67915e+06 ,-1 ,4.45174e+09 ,5.36496e+09 ,2.97517e+08 ,1.55185e+09 ,-1 ,-1 ,6.88146e+08 ,82441.5 ,4.35874e+09 ,-1 ,-1 ,5.50923e+09 ,1.16711e+09 ,1.00727e+09 ,-1 ,4.12305e-314 
omp, ellpack, 1,-1 ,4.41108e+09 ,-1 ,2.81473e+09 ,2.41992e+09 ,2.07693e+09 ,4.93761e+09 ,3.5198e+09 ,3.05572e+09 ,-1 ,-1 ,1.44655e+07 ,-1 ,4.67393e+09 ,5.77367e+09 ,2.66358e+08 ,1.68311e+09 ,-1 ,-1 ,5.96602e+08 ,81922.4 ,4.44486e+09 ,-1 ,-1 ,5.69249e+09 ,4.91052e+08 ,7.22053e+08 ,-1 ,2.07534e-317 
