product, format, threads, cavity10.mtx, roadNet-PA.mtx, nlpkkt80.mtx, mac_econ_fwd500.mtx, thermomech_TK.mtx, PR02R.mtx, thermal2.mtx, FEM_3D_thermal1.mtx, olafu.mtx, amazon0302.mtx, adder_dcop_32.mtx, rdist2.mtx, olm1000.mtx, webbase-1M.mtx, cant.mtx, af_1_k101.mtx, mhd4800a.mtx, thermal1.mtx, cop20k_A.mtx, bcsstk17.mtx, raefsky2.mtx, cage4.mtx, Cube_Coup_dt0.mtx, mcfe.mtx, west2021.mtx, ML_Laplace.mtx, lung2.mtx, af23560.mtx, dc1.mtx
1, 1, 1,3.06307e+08,1.72678e+08,5.9566e+08,-1,1.09147e+08,3.47913e+08,3.11397e+08,1.10602e+08,3.96524e+08,2.90414e+08,-1,7.90473e+07,4.85207e+07,-1,5.20915e+08,6.26734e+08,3.25256e+07,3.29765e+08,1.53585e+08,1.01448e+08,3.02343e+08,502874,5.57827e+08,1.04695e+06,3.10588e+06,6.21045e+08,8.33075e+07,3.55517e+08,-1
1, 2, 1,6.64111e+08,3.22637e+08,6.49224e+08,1.83034e+08,3.18746e+08,6.27714e+08,4.15452e+08,1.42879e+08,5.56749e+08,3.07716e+08,2.64588e+07,4.4254e+08,1.97075e+08,3.96536e+08,5.8246e+08,6.55787e+08,3.51935e+07,4.17956e+08,4.93016e+08,3.51367e+08,5.2797e+08,877508,6.73264e+08,1.26637e+06,3.79115e+06,6.50955e+08,9.52393e+07,3.89443e+08,5.20952e+08
2, 1, 1, 2.95543e+08, 1.71486e+08, 6.00374e+08, -1, 2.55179e+08, 3.31796e+08, 3.08401e+08, 4.12197e+08, 4.47933e+08, 2.8626e+08, -1, 1.64072e+08, 5.78311e+07, -1, 5.0818e+08, 6.36102e+08, 1.97521e+08, 3.81265e+08, 1.51945e+08, 1.57799e+08, 5.23117e+08, 1.31737e+06, 5.25493e+08, 1.19225e+07, 5.74972e+07, 6.16609e+08, 2.60629e+08, 5.07221e+08, -1
2, 1, 2, 4.4288e+08, 2.62178e+08, 9.85248e+08, -1, 4.62448e+08, 5.36363e+08, 4.91728e+08, 7.60577e+08, 6.365e+08, 4.62897e+08, -1, 2.4389e+08, 2.35311e+08, -1, 7.85481e+08, 1.03322e+09, 4.28495e+08, 5.40593e+08, 2.31228e+08, 2.57402e+08, 7.73215e+08, 9.74789e+06, 8.70894e+08, 8.83935e+07, 1.60114e+08, 1.00042e+09, 4.4865e+08, 4.78484e+08, -1
2, 1, 3, 6.33596e+08, 4.07708e+08, 1.51583e+09, -1, 7.35571e+08, 7.97826e+08, 8.11206e+08, 1.20281e+09, 1.04374e+09, 6.95281e+08, -1, 3.7949e+08, 6.63334e+07, -1, 1.1868e+09, 1.44263e+09, 8.1596e+08, 8.57041e+08, 3.39422e+08, 3.92603e+08, 1.01097e+09, 424680, 1.30106e+09, 1.96739e+08, 1.3466e+08, 1.54259e+09, 7.05413e+08, 7.26971e+08, -1
2, 1, 4, 8.81443e+08, 5.38514e+08, 1.95026e+09, -1, 1.00711e+09, 1.10868e+09, 1.04878e+09, 1.6452e+09, 1.42854e+09, 9.20841e+08, -1, 5.18914e+08, 3.63803e+08, -1, 1.6117e+09, 2.02215e+09, 1.14563e+09, 1.21133e+09, 4.37966e+08, 5.45133e+08, 1.51564e+09, 3.39451e+06, 1.72934e+09, 5.59015e+08, 3.69906e+08, 1.98132e+09, 1.02902e+09, 1.01253e+09, -1
2, 1, 5, 7.76704e+08, 6.72455e+08, 2.43155e+09, -1, 1.25131e+09, 1.39958e+09, 1.26736e+09, 2.09728e+09, 1.75817e+09, 1.15376e+09, -1, 6.4838e+08, 6.82316e+08, -1, 2.02941e+09, 2.55643e+09, 1.43926e+09, 1.51542e+09, 5.26558e+08, 6.90038e+08, 1.92324e+09, 1.10557e+07, 2.16493e+09, 8.30224e+08, 4.95922e+08, 2.50028e+09, 1.27188e+09, 1.5598e+09, -1
2, 1, 6, 1.18529e+09, 7.961e+08, 2.94993e+09, -1, 1.49546e+09, 1.6562e+09, 1.40065e+09, 2.52162e+09, 2.1154e+09, 1.40462e+09, -1, 7.81612e+08, 8.3482e+08, -1, 2.43307e+09, 3.02769e+09, 1.71568e+09, 1.77397e+09, 6.14475e+08, 8.33148e+08, 2.33375e+09, 1.37663e+07, 2.55609e+09, 9.91791e+08, 5.98748e+08, 2.95444e+09, 1.51951e+09, 2.3989e+09, -1
2, 1, 7, 1.43075e+09, 9.26491e+08, 3.37927e+09, -1, 1.73604e+09, 1.92451e+09, 1.64026e+09, 2.97403e+09, 2.42158e+09, 1.62526e+09, -1, 8.93973e+08, 7.16358e+08, -1, 2.84841e+09, 3.5387e+09, 1.94693e+09, 2.05645e+09, 7.08763e+08, 9.41131e+08, 2.67241e+09, 1.23942e+07, 2.92692e+09, 1.10345e+09, 6.19524e+08, 3.44237e+09, 1.79303e+09, 2.87654e+09, -1
2, 1, 8, 1.64714e+09, 1.04607e+09, 3.83592e+09, -1, 1.94863e+09, 2.19214e+09, 1.84711e+09, 3.34388e+09, 2.75384e+09, 1.85645e+09, -1, 1.01319e+09, 7.80668e+08, -1, 3.24946e+09, 4.04537e+09, 2.21686e+09, 2.38303e+09, 8.09928e+08, 1.07096e+09, 3.04773e+09, 1.04329e+07, 3.11907e+09, 1.25661e+09, 6.83078e+08, 3.91542e+09, 2.01825e+09, 3.3037e+09, -1
2, 1, 9, 1.76638e+09, 1.12409e+09, 4.21645e+09, -1, 2.14055e+09, 2.447e+09, 1.98268e+09, 3.5934e+09, 3.07734e+09, 2.03198e+09, -1, 1.13216e+09, 8.25047e+08, -1, 3.44748e+09, 4.55172e+09, 2.44864e+09, 2.5674e+09, 9.0816e+08, 1.19989e+09, 3.38005e+09, 1.01647e+07, 3.5466e+09, 1.34185e+09, 7.44416e+08, 4.3735e+09, 2.23101e+09, 3.58251e+09, -1
